REF_DATE,GEO,Age group,VALUE
2009,Manitoba,90 years and older,9369
2009,Saskatchewan,All ages,1034791
2009,Saskatchewan,65 to 69 years,39535
2009,Saskatchewan,70 to 74 years,33049
2009,Saskatchewan,75 to 79 years,29665
2009,Saskatchewan,80 to 84 years,24018
2009,Saskatchewan,85 to 89 years,15709
2009,Saskatchewan,65 years and older,151258
2009,Saskatchewan,90 years and older,9282
2009,Alberta,All ages,3679010
2009,Alberta,65 to 69 years,116653
2009,Alberta,70 to 74 years,89510
2009,Alberta,75 to 79 years,74843
2009,Alberta,80 to 84 years,53996
2009,Alberta,85 to 89 years,32083
2009,Alberta,65 years and older,383007
2009,Alberta,90 years and older,15922
2009,British Columbia,All ages,4410513
2009,British Columbia,65 to 69 years,194772
2009,British Columbia,70 to 74 years,150300
2009,British Columbia,75 to 79 years,124280
2009,British Columbia,80 to 84 years,92025
2009,British Columbia,85 to 89 years,58735
2009,British Columbia,65 years and older,648778
2009,British Columbia,90 years and older,28666
2010,Newfoundland and Labrador,All ages,522002
2010,Newfoundland and Labrador,65 to 69 years,26504
2010,Newfoundland and Labrador,70 to 74 years,19375
2010,Newfoundland and Labrador,75 to 79 years,14384
2010,Newfoundland and Labrador,80 to 84 years,9872
2010,Newfoundland and Labrador,85 to 89 years,5545
2010,Newfoundland and Labrador,65 years and older,78502
2010,Newfoundland and Labrador,90 years and older,2822
2010,Prince Edward Island,All ages,141644
2010,Prince Edward Island,65 to 69 years,6826
2010,Prince Edward Island,70 to 74 years,5283
2010,Prince Edward Island,75 to 79 years,4140
2010,Prince Edward Island,80 to 84 years,2914
2010,Prince Edward Island,85 to 89 years,1835
2010,Prince Edward Island,65 years and older,22053
2010,Prince Edward Island,90 years and older,1055
2010,Nova Scotia,All ages,942144
2010,Nova Scotia,65 to 69 years,47156
2010,Nova Scotia,70 to 74 years,35228
2010,Nova Scotia,75 to 79 years,27500
2010,Nova Scotia,80 to 84 years,19747
2010,Nova Scotia,85 to 89 years,12811
2010,Nova Scotia,65 years and older,149910
2010,Nova Scotia,90 years and older,7468
2010,New Brunswick,All ages,753034
2010,New Brunswick,65 to 69 years,37279
2010,New Brunswick,70 to 74 years,27681
2010,New Brunswick,75 to 79 years,21723
2010,New Brunswick,80 to 84 years,16042
2010,New Brunswick,85 to 89 years,10434
2010,New Brunswick,65 years and older,118933
2010,New Brunswick,90 years and older,5774
2010,Quebec,All ages,7929479
2010,Quebec,65 to 69 years,385600
2010,Quebec,70 to 74 years,279198
2010,Quebec,75 to 79 years,230160
2010,Quebec,80 to 84 years,170983
2010,Quebec,85 to 89 years,99349
2010,Quebec,65 years and older,1212501
2010,Quebec,90 years and older,47211
2010,Ontario,All ages,13136481
2010,Ontario,65 to 69 years,545055
2010,Ontario,70 to 74 years,429626
2010,Ontario,75 to 79 years,353270
2010,Ontario,80 to 84 years,265725
2010,Ontario,85 to 89 years,162653
2010,Ontario,65 years and older,1832297
2010,Ontario,90 years and older,75968
2010,Manitoba,All ages,1220782
2010,Manitoba,65 to 69 years,48609
2010,Manitoba,70 to 74 years,37108
2010,Manitoba,75 to 79 years,31455
2010,Manitoba,80 to 84 years,25447
2010,Manitoba,85 to 89 years,17025
2010,Manitoba,65 years and older,169546
2010,Manitoba,90 years and older,9902
2010,Saskatchewan,All ages,1051426
2010,Saskatchewan,65 to 69 years,40551
2010,Saskatchewan,70 to 74 years,33163
2010,Saskatchewan,75 to 79 years,29139
2010,Saskatchewan,80 to 84 years,23858
2010,Saskatchewan,85 to 89 years,15830
2010,Saskatchewan,65 years and older,152338
2010,Saskatchewan,90 years and older,9797
2010,Alberta,All ages,3732104
2010,Alberta,65 to 69 years,121141
2010,Alberta,70 to 74 years,91804
2010,Alberta,75 to 79 years,75105
2010,Alberta,80 to 84 years,55936
2010,Alberta,85 to 89 years,32614
2010,Alberta,65 years and older,393689
2010,Alberta,90 years and older,17089
2010,British Columbia,All ages,4465557
2010,British Columbia,65 to 69 years,202868
2010,British Columbia,70 to 74 years,154539
2010,British Columbia,75 to 79 years,125344
2010,British Columbia,80 to 84 years,93900
2010,British Columbia,85 to 89 years,59465
2010,British Columbia,65 years and older,667476
2010,British Columbia,90 years and older,31360
2011,Newfoundland and Labrador,All ages,524955
2011,Newfoundland and Labrador,65 to 69 years,28916
2011,Newfoundland and Labrador,70 to 74 years,20080
2011,Newfoundland and Labrador,75 to 79 years,14590
2011,Newfoundland and Labrador,80 to 84 years,10036
2011,Newfoundland and Labrador,85 to 89 years,5675
2011,Newfoundland and Labrador,65 years and older,82320
2011,Newfoundland and Labrador,90 years and older,3023
2011,Prince Edward Island,All ages,143918
2011,Prince Edward Island,65 to 69 years,7267
2011,Prince Edward Island,70 to 74 years,5397
2011,Prince Edward Island,75 to 79 years,4294
2011,Prince Edward Island,80 to 84 years,2938
2011,Prince Edward Island,85 to 89 years,1893
2011,Prince Edward Island,65 years and older,22884
2011,Prince Edward Island,90 years and older,1095
2011,Nova Scotia,All ages,944095
2011,Nova Scotia,65 to 69 years,49346
2011,Nova Scotia,70 to 74 years,36470
2011,Nova Scotia,75 to 79 years,27645
2011,Nova Scotia,80 to 84 years,20023
2011,Nova Scotia,85 to 89 years,12657
2011,Nova Scotia,65 years and older,153979
2011,Nova Scotia,90 years and older,7838
2011,New Brunswick,All ages,755590
2011,New Brunswick,65 to 69 years,38870
2011,New Brunswick,70 to 74 years,28981
2011,New Brunswick,75 to 79 years,22142
2011,New Brunswick,80 to 84 years,16159
2011,New Brunswick,85 to 89 years,10473
2011,New Brunswick,65 years and older,122628
2011,New Brunswick,90 years and older,6003
2011,Quebec,All ages,8004736
2011,Quebec,65 to 69 years,403720
2011,Quebec,70 to 74 years,291806
2011,Quebec,75 to 79 years,230757
2011,Quebec,80 to 84 years,175914
2011,Quebec,85 to 89 years,103112
2011,Quebec,65 years and older,1256193
2011,Quebec,90 years and older,50884
2011,Ontario,All ages,13262345
2011,Ontario,65 to 69 years,570236
2011,Ontario,70 to 74 years,441654
2011,Ontario,75 to 79 years,355870
2011,Ontario,80 to 84 years,271728
2011,Ontario,85 to 89 years,166256
2011,Ontario,65 years and older,1888681
2011,Ontario,90 years and older,82937
2011,Manitoba,All ages,1233353
2011,Manitoba,65 to 69 years,50397
2011,Manitoba,70 to 74 years,38255
2011,Manitoba,75 to 79 years,31272
2011,Manitoba,80 to 84 years,25358
2011,Manitoba,85 to 89 years,16806
2011,Manitoba,65 years and older,172366
2011,Manitoba,90 years and older,10278
2011,Saskatchewan,All ages,1065661
2011,Saskatchewan,65 to 69 years,41877
2011,Saskatchewan,70 to 74 years,33699
2011,Saskatchewan,75 to 79 years,28741
2011,Saskatchewan,80 to 84 years,23842
2011,Saskatchewan,85 to 89 years,15762
2011,Saskatchewan,65 years and older,153856
2011,Saskatchewan,90 years and older,9935
2011,Alberta,All ages,3787705
2011,Alberta,65 to 69 years,127119
2011,Alberta,70 to 74 years,94714
2011,Alberta,75 to 79 years,75809
2011,Alberta,80 to 84 years,57614
2011,Alberta,85 to 89 years,33633
2011,Alberta,65 years and older,407025
2011,Alberta,90 years and older,18136
2011,British Columbia,All ages,4503819
2011,British Columbia,65 to 69 years,211431
2011,British Columbia,70 to 74 years,160188
2011,British Columbia,75 to 79 years,126701
2011,British Columbia,80 to 84 years,96463
2011,British Columbia,85 to 89 years,59925
2011,British Columbia,65 years and older,688612
2011,British Columbia,90 years and older,33904
2012,Newfoundland and Labrador,All ages,526235
2012,Newfoundland and Labrador,65 to 69 years,31207
2012,Newfoundland and Labrador,70 to 74 years,20710
2012,Newfoundland and Labrador,75 to 79 years,14986
2012,Newfoundland and Labrador,80 to 84 years,10165
2012,Newfoundland and Labrador,85 to 89 years,5755
2012,Newfoundland and Labrador,65 years and older,85965
2012,Newfoundland and Labrador,90 years and older,3142
2012,Prince Edward Island,All ages,144415
2012,Prince Edward Island,65 to 69 years,7996
2012,Prince Edward Island,70 to 74 years,5538
2012,Prince Edward Island,75 to 79 years,4372
2012,Prince Edward Island,80 to 84 years,2988
2012,Prince Edward Island,85 to 89 years,1877
2012,Prince Edward Island,65 years and older,23938
2012,Prince Edward Island,90 years and older,1167
2012,Nova Scotia,All ages,943163
2012,Nova Scotia,65 to 69 years,53321
2012,Nova Scotia,70 to 74 years,37884
2012,Nova Scotia,75 to 79 years,28110
2012,Nova Scotia,80 to 84 years,20389
2012,Nova Scotia,85 to 89 years,12533
2012,Nova Scotia,65 years and older,160487
2012,Nova Scotia,90 years and older,8250
2012,New Brunswick,All ages,758121
2012,New Brunswick,65 to 69 years,42075
2012,New Brunswick,70 to 74 years,30311
2012,New Brunswick,75 to 79 years,22188
2012,New Brunswick,80 to 84 years,16602
2012,New Brunswick,85 to 89 years,10481
2012,New Brunswick,65 years and older,127999
2012,New Brunswick,90 years and older,6342
2012,Quebec,All ages,8059752
2012,Quebec,65 to 69 years,424939
2012,Quebec,70 to 74 years,304850
2012,Quebec,75 to 79 years,230136
2012,Quebec,80 to 84 years,180116
2012,Quebec,85 to 89 years,106522
2012,Quebec,65 years and older,1301474
2012,Quebec,90 years and older,54911
2012,Ontario,All ages,13392364
2012,Ontario,65 to 69 years,615938
2012,Ontario,70 to 74 years,455487
2012,Ontario,75 to 79 years,359629
2012,Ontario,80 to 84 years,276987
2012,Ontario,85 to 89 years,171225
2012,Ontario,65 years and older,1968970
2012,Ontario,90 years and older,89704
2012,Manitoba,All ages,1249094
2012,Manitoba,65 to 69 years,54185
2012,Manitoba,70 to 74 years,39299
2012,Manitoba,75 to 79 years,31094
2012,Manitoba,80 to 84 years,25442
2012,Manitoba,85 to 89 years,16869
2012,Manitoba,65 years and older,177551
2012,Manitoba,90 years and older,10662
2012,Saskatchewan,All ages,1083005
2012,Saskatchewan,65 to 69 years,44617
2012,Saskatchewan,70 to 74 years,34133
2012,Saskatchewan,75 to 79 years,28460
2012,Saskatchewan,80 to 84 years,23827
2012,Saskatchewan,85 to 89 years,15827
2012,Saskatchewan,65 years and older,157087
2012,Saskatchewan,90 years and older,10223
2012,Alberta,All ages,3871947
2012,Alberta,65 to 69 years,138243
2012,Alberta,70 to 74 years,98210
2012,Alberta,75 to 79 years,76709
2012,Alberta,80 to 84 years,58877
2012,Alberta,85 to 89 years,34816
2012,Alberta,65 years and older,426052
2012,Alberta,90 years and older,19197
2012,British Columbia,All ages,4570866
2012,British Columbia,65 to 69 years,228963
2012,British Columbia,70 to 74 years,165908
2012,British Columbia,75 to 79 years,128295
2012,British Columbia,80 to 84 years,98275
2012,British Columbia,85 to 89 years,60875
