REF_DATE,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Nunavut,2021A000262,Total - gender,65 years and older,Persons,249,units,0,v480270,15.1.104,1745,,,,0
2021,Nunavut,2021A000262,Men+,65 years and older,Persons,249,units,0,v480271,15.2.104,909,,,,0
2021,Nunavut,2021A000262,Women+,65 years and older,Persons,249,units,0,v480272,15.3.104,836,,,,0
2022,Canada,2021A000011124,Total - gender,65 years and older,Persons,249,units,0,v466686,1.1.104,7298944,,,,0
2022,Canada,2021A000011124,Men+,65 years and older,Persons,249,units,0,v466687,1.2.104,3369445,,,,0
2022,Canada,2021A000011124,Women+,65 years and older,Persons,249,units,0,v466688,1.3.104,3929499,,,,0
2022,Newfoundland and Labrador,2021A000210,Total - gender,65 years and older,Persons,249,units,0,v467001,2.1.104,126975,,,,0
2022,Newfoundland and Labrador,2021A000210,Men+,65 years and older,Persons,249,units,0,v467002,2.2.104,59534,,,,0
2022,Newfoundland and Labrador,2021A000210,Women+,65 years and older,Persons,249,units,0,v467003,2.3.104,67441,,,,0
2022,Prince Edward Island,2021A000211,Total - gender,65 years and older,Persons,249,units,0,v467316,3.1.104,34523,,,,0
2022,Prince Edward Island,2021A000211,Men+,65 years and older,Persons,249,units,0,v467317,3.2.104,15789,,,,0
2022,Prince Edward Island,2021A000211,Women+,65 years and older,Persons,249,units,0,v467318,3.3.104,18734,,,,0
2022,Nova Scotia,2021A000212,Total - gender,65 years and older,Persons,249,units,0,v467631,4.1.104,225308,,,,0
2022,Nova Scotia,2021A000212,Men+,65 years and older,Persons,249,units,0,v467632,4.2.104,104012,,,,0
2022,Nova Scotia,2021A000212,Women+,65 years and older,Persons,249,units,0,v467633,4.3.104,121296,,,,0
2022,New Brunswick,2021A000213,Total - gender,65 years and older,Persons,249,units,0,v467946,5.1.104,185107,,,,0
2022,New Brunswick,2021A000213,Men+,65 years and older,Persons,249,units,0,v467947,5.2.104,86280,,,,0
2022,New Brunswick,2021A000213,Women+,65 years and older,Persons,249,units,0,v467948,5.3.104,98827,,,,0
2022,Quebec,2021A000224,Total - gender,65 years and older,Persons,249,units,0,v468261,6.1.104,1787639,,,,0
2022,Quebec,2021A000224,Men+,65 years and older,Persons,249,units,0,v468262,6.2.104,827768,,,,0
2022,Quebec,2021A000224,Women+,65 years and older,Persons,249,units,0,v468263,6.3.104,959871,,,,0
2022,Ontario,2021A000235,Total - gender,65 years and older,Persons,249,units,0,v468576,7.1.104,2763435,,,,0
2022,Ontario,2021A000235,Men+,65 years and older,Persons,249,units,0,v468577,7.2.104,1258456,,,,0
2022,Ontario,2021A000235,Women+,65 years and older,Persons,249,units,0,v468578,7.3.104,1504979,,,,0
2022,Manitoba,2021A000246,Total - gender,65 years and older,Persons,249,units,0,v468891,8.1.104,236133,,,,0
2022,Manitoba,2021A000246,Men+,65 years and older,Persons,249,units,0,v468892,8.2.104,108260,,,,0
2022,Manitoba,2021A000246,Women+,65 years and older,Persons,249,units,0,v468893,8.3.104,127873,,,,0
2022,Saskatchewan,2021A000247,Total - gender,65 years and older,Persons,249,units,0,v469206,9.1.104,204647,,,,0
2022,Saskatchewan,2021A000247,Men+,65 years and older,Persons,249,units,0,v469207,9.2.104,95575,,,,0
2022,Saskatchewan,2021A000247,Women+,65 years and older,Persons,249,units,0,v469208,9.3.104,109072,,,,0
2022,Alberta,2021A000248,Total - gender,65 years and older,Persons,249,units,0,v469521,10.1.104,668205,,,,0
2022,Alberta,2021A000248,Men+,65 years and older,Persons,249,units,0,v469522,10.2.104,315111,,,,0
2022,Alberta,2021A000248,Women+,65 years and older,Persons,249,units,0,v469523,10.3.104,353094,,,,0
2022,British Columbia,2021A000259,Total - gender,65 years and older,Persons,249,units,0,v469836,11.1.104,1054174,,,,0
2022,British Columbia,2021A000259,Men+,65 years and older,Persons,249,units,0,v469837,11.2.104,492079,,,,0
2022,British Columbia,2021A000259,Women+,65 years and older,Persons,249,units,0,v469838,11.3.104,562095,,,,0
2022,Yukon,2021A000260,Total - gender,65 years and older,Persons,249,units,0,v470151,12.1.104,6434,,,,0
2022,Yukon,2021A000260,Men+,65 years and older,Persons,249,units,0,v470152,12.2.104,3341,,,,0
2022,Yukon,2021A000260,Women+,65 years and older,Persons,249,units,0,v470153,12.3.104,3093,,,,0
2022,Northwest Territories,2021A000261,Total - gender,65 years and older,Persons,249,units,0,v479955,14.1.104,4548,,,,0
2022,Northwest Territories,2021A000261,Men+,65 years and older,Persons,249,units,0,v479956,14.2.104,2306,,,,0
2022,Northwest Territories,2021A000261,Women+,65 years and older,Persons,249,units,0,v479957,14.3.104,2242,,,,0
2022,Nunavut,2021A000262,Total - gender,65 years and older,Persons,249,units,0,v480270,15.1.104,1816,,,,0
2022,Nunavut,2021A000262,Men+,65 years and older,Persons,249,units,0,v480271,15.2.104,934,,,,0
2022,Nunavut,2021A000262,Women+,65 years and older,Persons,249,units,0,v480272,15.3.104,882,,,,0
2023,Canada,2021A000011124,Total - gender,65 years and older,Persons,249,units,0,v466686,1.1.104,7562124,,,,0
2023,Canada,2021A000011124,Men+,65 years and older,Persons,249,units,0,v466687,1.2.104,3496115,,,,0
2023,Canada,2021A000011124,Women+,65 years and older,Persons,249,units,0,v466688,1.3.104,4066009,,,,0
2023,Newfoundland and Labrador,2021A000210,Total - gender,65 years and older,Persons,249,units,0,v467001,2.1.104,130952,,,,0
2023,Newfoundland and Labrador,2021A000210,Men+,65 years and older,Persons,249,units,0,v467002,2.2.104,61336,,,,0
